title,year,paper width (cm),paper height (cm),width,height,plates,print_run,signed,short_description,long_description,notes,price,version_a,version_b,version_c,version_d,version_e
Reclining Squares,,76,28.2,598,200,2,25,Yes,,,Marked AP,"£1,260",Black (two plates).,Black and silver. Black figure on silver background.,"Blue, red and yellow. Figure printed blue on a red and yellow background. Inks mix to render the figure green.",Red and Green. Pinkish red figure on green background.,
England 20 Australia 17,,75.5,56.5,495,237,1,25,Yes,,,The artist's right eye is outlined in red by hand after the print.,£290,Black,,,,
"Mirror, Mirror",,57,75.5,245,365,1,25,Yes,,,Marked AP,"£1,100",Black,,,,
Flagstones,,75,46,570,210,11,25,Yes,,,Marked AP. The print consists of 11 separate plates arranged ilike brickwork.,£390,Black,,,,
Reclining Nude II,,75.5,56.5,497,280,2,25,Yes,,,Marked AP,£520,Black,"Red, Yellow, Blue","Gold, Silver, Black",,
Trainers with Football,,75.5,56.5,572,575,1,25,Yes,,,Marked AP,£380,Blue,,,,
Tiger in a Bunker,,31,52.2,195,390,1,25,Yes,,,Marked AP,£290,Black,,,,
The Lady of the House Revisited,,56.5,75.5,295,495,1,25,Yes,,,Marked AP,"£1,300",Black,,,,
Anthony's Tree,,56.5,75.5,292,495,1,25,No,,,Marked AP,£380,Black,,,,
No Cycling,,65.7,53,498,350,1,25,Yes,,,Marked AP. The 'no cycling' sign is penned red by hand.,£450,Black,,,,
Touchdown,,75.5,56.5,493,340,1,25,No,,,,£280,Black,,,,
Rule Brittannia,,71.5,53,495,330,2,25,No,,,,£260,original,,,,
Newspaper,,--,--,292,98,1,25,No,,,,£265,Red and Blue,,,,
Goalpost,,75.5,56.5,495,290,1,25,No,,,,£530,Black,,,,
Still Life,,,,298,410,1,25,No,,,,£580,Black,,,,
The Brown Ones Are Yours,,,,500,176,,25,No,,,,£270,Black,,,,
Screws,,,,188,241,,25,No,,,,£215,Red and Green,Green and blue,Purple and green,Black,
Self Portrait II,,,,295,495,,25,No,,,,£550,Black,,,,
Out,,,,325,495,,25,No,,,,£560,Red and Blue,Red and Black,,,
An Aborigine On Primrose Hill,,,,294,600,1,25,Yes,,,,£390,Black,A red 'no' symbol is coloured after printing,,,
Anthony in His Room,,,,370,245,1,25,No,,,,£350,Black,,,,
Aphrodite Reflecting,,,,195,382,1,25,Yes,,,,£380,Black,,,,
Bicycle,,,,415,292,2,25,No,,,,£560,Neon Yellow and Red,"Green, Yellow and Red",,,
Boomerang,,,,490,395,1,25,No,,,Alternate print features a 'no' sign formed by negative space around the hilltop figure,£340,Black,Masked 'no' sign around figure,,,
Cages,,,,490,338,1,25,No,,,Very large,"£1,280",Black,,,,
Camden Lock,,,,190,328,1,25,No,,,,£560,Black,,,,
Canal,,,,243,492,1,25,No,,,,£325,Dark blue,,,,
Coal Sheds,,,,460,300,1,15,No,,,,£350,Black and Blue,,,,
Looking Through Grass,,,,495,255,2,25,Yes,,,Two versions have different grass in their foregrounds,£380,Black,Black,,,
Hinge,,,,275,595,1,25,No,,,,£270,Yellow,,,,
Graffiti,,,,230,300,1,25,No,,,,£240,Blue,,,,
Oi's Schoolbag 2000,,,,591,492,1,25,Yes,,,Very large,£290,Black and Light blue,,,,
Sacks,,,,450,290,1,15,No,,,,£380,Yellow and Blue,,,,
Nude with Cloth,,,,415,290,2,25,No,,,,£350,Gold and Silver,Red and Blue,,,
